,Protein Annotation,Day21-ETP,sgRNA_vs_Target,TID,MatchResult
12080,66.76,-3.393141607,12,1,1
12081,66.76,-3.393141607,12,1,1
12082,66.76,-3.55917397,17,1,1
12083,66.76,-3.88442315,13,1,1
12084,66.76,-3.997025188,12,1,0
12085,66.76,-4.30561126,12,1,1
12086,66.76,-4.987094776,14,1,1
12087,66.76,-4.987094776,14,1,1
12088,66.76,-4.987094776,14,1,1
12091,2.75,3.499669356,18,1,1
12093,2.75,3.2685561360000004,13,1,1
12094,2.75,3.2685561360000004,13,1,1
12097,2.75,3.255309946,19,1,1
12101,2.75,3.163318196,19,1,1
12103,2.75,3.061442398,18,1,1
12104,2.75,3.061442398,18,1,1
12106,2.75,3.05090725,19,1,0
12107,2.75,3.05090725,19,1,1
12110,2.75,3.038137261,18,1,1
12117,2.75,2.915476913,15,1,1
12118,2.75,2.9083230510000004,14,1,1
12119,2.75,2.9083230510000004,14,1,1
12120,2.75,2.9083230510000004,14,1,1
12121,2.75,2.8398736510000004,18,1,0
12123,2.75,2.825864003,19,1,1
12127,2.75,2.72697065,19,1,1
12136,2.75,2.645612012,13,1,1
12144,2.75,2.521150552,13,1,1
12149,2.75,2.449825904,16,1,1
12150,2.75,2.449825904,16,1,1
12154,2.75,2.387367407,15,1,1
12155,2.75,2.376554725,15,1,1
12156,2.75,2.376554725,15,1,1
12157,2.75,2.321893031,12,1,0
12160,2.75,2.232939312,19,1,1
12161,2.75,2.232939312,19,1,1
12163,2.75,2.19112086,16,1,0
12164,2.75,2.179560489,20,1,1
12165,2.75,2.179560489,20,1,1
12169,2.75,1.997719847,4,1,0
12174,2.75,1.755715233,5,1,0
12181,2.75,1.155618731,5,1,1
12182,2.75,1.077078735,15,1,0
12185,2.75,0.273852298,17,1,0
12186,2.75,0.227229551,16,1,1
12187,2.75,0.138649111,10,1,0
12189,2.75,0.138649111,10,1,0
12190,2.75,0.138649111,10,1,0
12191,2.75,0.08020490200000001,13,1,1
12192,2.75,-0.126561136,14,1,1
12193,2.75,-0.170932086,13,1,1
12194,2.75,-0.223171637,13,1,1
12195,2.75,-0.337049005,10,1,1
12196,2.75,-0.391456638,11,1,1
12197,2.75,-0.395910061,10,1,1
12198,2.75,-0.397116065,12,1,1
12199,2.75,-0.444001323,11,1,0
12200,2.75,-0.4728622220000001,17,1,1
12201,2.75,-0.486126368,17,1,1
12203,2.75,-0.658533798,7,1,0
12204,2.75,-0.684051305,5,1,1
12206,2.75,-0.7278319679999999,8,1,1
12207,2.75,-0.7278319679999999,8,1,1
12208,2.75,-0.79084123,10,1,1
12209,2.75,-0.79084123,10,1,1
12210,2.75,-0.8344778340000001,5,1,1
12211,2.75,-0.928584174,10,1,1
12213,2.75,-0.939528421,8,1,0
12216,2.75,-1.063279581,6,1,0
12217,2.75,-1.152004931,14,1,0
12218,2.75,-1.15423995,6,1,1
12221,2.75,-1.172355063,10,1,1
12222,2.75,-1.190147725,8,1,1
12223,2.75,-1.21294293,9,1,1
12224,2.75,-1.21294293,9,1,1
12226,2.75,-1.567621941,10,1,1
12227,2.75,-1.5736870530000002,14,1,1
12228,2.75,-1.6154203180000002,12,1,1
12229,2.75,-1.652314374,13,1,0
12230,2.75,-1.652314374,13,1,0
12231,2.75,-1.66681149,17,1,1
12232,2.75,-1.66681149,17,1,1
12233,2.75,-1.82052908,9,1,1
12234,2.75,-1.8738487,10,1,1
12235,2.75,-2.040812973,8,1,1
12236,2.75,-2.052092557,6,1,1
12237,2.75,-2.052092557,6,1,1
12238,2.75,-2.148231449,7,1,1
12239,2.75,-2.148231449,7,1,1
12240,2.75,-2.568726851,12,1,1
12241,2.75,-2.568726851,12,1,1
12244,2.75,-2.898177163,11,1,1
12245,2.75,-2.936550743,7,1,1
12246,2.75,-2.952173888,10,1,1
12247,2.75,-3.032791748,9,1,1
12248,2.75,-3.184242287,6,1,1
12249,2.75,-3.230481086,10,1,1
12250,2.75,-3.4124382860000004,9,1,0
12251,2.75,-3.450811997,7,1,1
12252,2.75,-3.568318607,11,1,1
12253,2.75,-3.568318607,11,1,1
12254,2.75,-3.568318607,11,1,1
12255,2.75,-3.568318607,11,1,1
12256,2.75,-4.491040368,16,1,1
12258,71.15,2.9389592560000004,4,1,0
12259,71.15,2.703947978,20,1,1
12260,71.15,2.703947978,20,1,1
12262,71.15,2.30822131,19,1,1
12263,71.15,2.30822131,19,1,1
12265,71.15,2.1410536980000003,19,1,1
12267,71.15,2.137100714,19,1,0
12268,71.15,2.137100714,19,1,1
12270,71.15,2.133316531,19,1,1
12278,71.15,1.838776663,19,1,1
12279,71.15,1.753075323,18,1,1
12282,71.15,1.5187383999999997,18,1,1
12286,71.15,1.477846986,19,1,1
12289,71.15,1.257449365,12,1,1
12293,71.15,0.7186574579999999,5,1,1
12298,71.15,0.323553094,5,1,1
12299,71.15,0.236649447,6,1,0
12302,71.15,0.17278279300000002,14,1,0
12304,71.15,0.022726809,17,1,0
12305,71.15,-0.124814268,9,1,0
12308,71.15,-0.202702092,13,1,0
12313,71.15,-0.369986176,12,1,1
12316,71.15,-0.471764533,13,1,1
12318,71.15,-0.5623087210000001,16,1,1
12320,71.15,-0.5732932510000001,15,1,1
12321,71.15,-0.575861704,16,1,0
12323,71.15,-0.63241725,12,1,1
12324,71.15,-0.669461551,13,1,1
12325,71.15,-0.669461551,13,1,1
12326,71.15,-0.669461551,13,1,1
12327,71.15,-0.7164743109999999,15,1,1
12328,71.15,-0.7164743109999999,15,1,1
12329,71.15,-0.732512767,6,1,1
12331,71.15,-0.766370214,12,1,1
12333,71.15,-0.8177237209999999,11,1,1
12335,71.15,-0.856880505,7,1,1
12336,71.15,-0.8946542890000001,12,1,1
12339,71.15,-0.988129832,8,1,1
12341,71.15,-1.051748085,5,1,0
12342,71.15,-1.103239876,11,1,1
12343,71.15,-1.108632163,7,1,1
12346,71.15,-1.129018343,10,1,1
12347,71.15,-1.215331085,17,1,1
12348,71.15,-1.215331085,17,1,1
12350,71.15,-1.320724412,18,1,0
12351,71.15,-1.349333109,8,1,1
12352,71.15,-1.3803096119999998,16,1,1
12353,71.15,-1.3803096119999998,16,1,1
12357,71.15,-1.575752087,11,1,1
12358,71.15,-1.575752087,11,1,1
12359,71.15,-1.588680383,15,1,1
12360,71.15,-1.611021359,18,1,1
12361,71.15,-1.611021359,18,1,1
12363,71.15,-1.733652412,7,1,1
12364,71.15,-1.733652412,7,1,1
12365,71.15,-1.845825524,14,1,1
12366,71.15,-1.88414548,14,1,1
12367,71.15,-1.88414548,14,1,1
12368,71.15,-1.953605224,10,1,0
12369,71.15,-2.053176549,8,1,1
12370,71.15,-2.056134017,8,1,0
12371,71.15,-2.056134017,8,1,0
12373,71.15,-2.138171554,17,1,1
12374,71.15,-2.19199682,14,1,1
12377,71.15,-2.268861342,7,1,0
12378,71.15,-2.268861342,7,1,0
12379,71.15,-2.338870441,7,1,1
12380,71.15,-2.3765366930000003,9,1,1
12381,71.15,-2.377778301,10,1,1
12382,71.15,-2.377778301,10,1,1
12385,71.15,-2.393307578,11,1,0
12388,71.15,-2.6532371830000003,8,1,1
12389,71.15,-2.6532371830000003,8,1,1
12390,71.15,-2.6532371830000003,8,1,1
12391,71.15,-2.685365287,8,1,1
12392,71.15,-2.7105741510000003,6,1,1
12393,71.15,-2.7105741510000003,6,1,1
12395,71.15,-2.8017198810000004,5,1,1
12397,71.15,-2.854774335,9,1,1
12398,71.15,-2.854774335,9,1,1
12400,71.15,-2.854774335,9,1,1
12401,71.15,-2.86222123,9,1,1
12402,71.15,-2.878599124,8,1,1
12403,71.15,-3.179483863,10,1,1
12404,71.15,-3.239696079,12,1,0
12405,71.15,-3.239696079,12,1,0
12406,71.15,-3.284095302,16,1,1
12408,71.15,-3.40899236,13,1,1
12410,71.15,-3.538231344,7,1,1
12411,71.15,-3.625363482,15,1,0
12413,71.15,-3.706083459,6,1,1
12415,71.15,-4.056442181,17,1,1
12416,71.15,-4.115009434,12,1,1
12417,71.15,-4.115009434,12,1,1
12419,71.15,-4.349961545,7,1,1
12422,93.83,0.17213186800000002,13,0,1
12423,93.83,0.17213186800000002,13,0,1
12424,93.83,0.17213186800000002,13,0,1
12425,93.83,0.025886706,12,0,1
12426,93.83,0.025886706,12,0,1
12428,93.83,-0.25156219,13,0,1
12429,93.83,-0.304972842,10,0,1
12430,93.83,-0.3311815,12,0,1
12431,93.83,-0.705027909,13,0,0
12433,93.83,-0.761116778,19,0,1
12434,93.83,-0.939661079,13,0,1
12440,93.83,-1.554410351,14,0,1
12441,93.83,-1.571037524,14,0,1
12442,93.83,-1.902953164,12,0,1
12447,93.83,-2.194692166,12,0,1
12449,93.83,-2.208330068,19,0,1
12453,93.83,-2.530064495,11,0,0
12455,93.83,-2.538440975,15,0,1
12459,93.83,-2.661038726,12,0,1
12462,93.83,-2.769479239,15,0,1
12463,93.83,-2.836973803,17,0,1
12464,93.83,-2.841888292,14,0,1
12465,93.83,-2.852442555,18,0,1
12466,93.83,-2.898722314,9,0,1
12468,93.83,-2.918635092,10,0,1
12472,93.83,-2.96353384,14,0,1
12474,93.83,-2.96353384,14,0,1
12475,93.83,-2.987052878,16,0,1
12477,93.83,-3.07923203,14,0,0
12478,93.83,-3.07923203,14,0,0
12479,93.83,-3.093116587,12,0,0
12480,93.83,-3.093116587,12,0,0
12482,93.83,-3.115776859,19,0,0
12483,93.83,-3.115776859,19,0,1
12484,93.83,-3.186770567,14,0,1
12487,93.83,-3.228783764,19,0,1
12488,93.83,-3.259509748,17,0,1
12490,93.83,-3.406433908,12,0,1
12492,93.83,-3.568477425,17,0,0
12493,93.83,-3.568477425,17,0,0
12494,93.83,-3.568477425,17,0,0
12496,93.83,-3.912351626,14,0,1
12497,93.83,-3.934921356,17,0,1
12498,93.83,-4.079694302,17,0,1
12499,10.49,0.511159041,6,0,1
12500,10.49,0.132161694,6,0,1
12503,10.49,-0.064620315,12,0,1
12504,10.49,-0.064620315,12,0,1
12505,10.49,-0.13362781,17,0,0
12506,10.49,-0.16584258400000002,14,0,0
12508,10.49,-0.16584258400000002,14,0,0
12509,10.49,-0.178459442,18,0,1
12510,10.49,-0.294001382,18,0,0
12512,10.49,-0.322606305,14,0,1
12517,10.49,-0.422409739,18,0,1
12518,10.49,-0.422409739,18,0,1
12519,10.49,-0.474670945,8,0,1
12520,10.49,-0.474670945,8,0,1
12523,10.49,-0.581140864,7,0,1
12525,10.49,-0.587064661,19,0,1
12527,10.49,-0.610171603,6,0,1
12528,10.49,-0.622861969,6,0,1
12529,10.49,-0.643190335,6,0,0
12531,10.49,-0.643190335,6,0,0
12532,10.49,-0.643190335,6,0,0
12535,10.49,-0.700434109,19,0,1
12536,10.49,-0.709903975,16,0,1
12539,10.49,-0.748191252,19,0,1
12540,10.49,-0.751908928,17,0,1
12543,10.49,-0.795571515,12,0,0
12544,10.49,-0.8346923820000001,16,0,0
12546,10.49,-0.858896069,13,0,1
12547,10.49,-0.858896069,13,0,1
12548,10.49,-0.89420127,11,0,1
12549,10.49,-0.90784503,16,0,1
12551,10.49,-0.930207723,16,0,1
12552,10.49,-0.930207723,16,0,1
12554,10.49,-0.973124346,11,0,0
12558,10.49,-1.021344577,6,0,1
12559,10.49,-1.043237172,20,0,1
12560,10.49,-1.043237172,20,0,1
12562,10.49,-1.100604671,11,0,1
12563,10.49,-1.100604671,11,0,1
12564,10.49,-1.100604671,11,0,1
12566,10.49,-1.107335234,6,0,1
12570,10.49,-1.221617745,8,0,1
12572,10.49,-1.255380573,14,0,1
12573,10.49,-1.255794156,18,0,1
12575,10.49,-1.284143256,7,0,1
12576,10.49,-1.284143256,7,0,1
12577,10.49,-1.284143256,7,0,1
12578,10.49,-1.284143256,7,0,1
12579,10.49,-1.303255754,9,0,1
12583,10.49,-1.358703688,19,0,1
12585,10.49,-1.425702589,15,0,0
12587,10.49,-1.5607360630000002,15,0,1
12588,10.49,-1.5723615130000002,10,0,1
12589,10.49,-1.5723615130000002,10,0,1
12590,10.49,-1.576582219,13,0,0
12592,10.49,-1.59114944,7,0,0
12594,10.49,-1.6490458140000002,14,0,1
12595,10.49,-1.6490974040000002,10,0,1
12596,10.49,-1.65065606,8,0,1
12601,10.49,-1.817877058,19,0,1
12602,10.49,-1.817877058,19,0,1
12605,10.49,-1.866657582,19,0,0
12606,10.49,-1.866657582,19,0,1
12607,10.49,-1.906821312,15,0,1
12608,10.49,-1.906821312,15,0,1
12609,10.49,-1.906821312,15,0,1
12610,10.49,-1.912138065,9,0,1
12611,10.49,-1.912138065,9,0,1
12617,10.49,-2.03108933,12,0,1
12621,10.49,-2.065971357,17,0,1
12622,10.49,-2.065971357,17,0,1
12624,10.49,-2.105300779,9,0,0
12625,10.49,-2.147575023,10,0,1
12626,10.49,-2.1794332080000003,6,0,1
12627,10.49,-2.18730752,5,0,0
12628,10.49,-2.187928686,12,0,1
12629,10.49,-2.229996335,11,0,1
12633,10.49,-2.389226485,15,0,1
12634,10.49,-2.469065742,14,0,1
12636,10.49,-2.505046184,7,0,1
12638,10.49,-2.554202624,8,0,0
12641,10.49,-2.760838297,10,0,1
12642,10.49,-2.829032148,10,0,0
12643,10.49,-2.829032148,10,0,0
12645,10.49,-2.867478186,6,0,1
12647,10.49,-2.8914281,13,0,1
12648,10.49,-3.140498425,6,0,1
12649,10.49,-3.202079651,14,0,1
12650,10.49,-3.202079651,14,0,1
12651,10.49,-3.26640571,14,0,1
12653,10.49,-3.572358801,9,0,1
12655,10.49,-3.618553938,10,0,1
12656,10.49,-3.733963454,13,0,1
12657,10.49,-3.888838182,10,0,1
12659,10.49,-4.435004095,17,0,1
12664,78.3,3.013471929,19,1,1
12666,78.3,2.498484999,20,1,1
12667,78.3,2.498484999,20,1,1
12672,78.3,2.30863384,19,1,1
12675,78.3,2.24630395,19,1,0
12677,78.3,2.24630395,19,1,1
12681,78.3,2.130188694,19,1,1
12689,78.3,1.387692736,19,1,1
12690,78.3,1.387692736,19,1,1
12693,78.3,1.150332382,19,1,1
12695,78.3,0.759773074,6,1,1
12696,78.3,0.759773074,6,1,1
12698,78.3,0.372910554,10,1,1
12699,78.3,0.2688618,11,1,1
12700,78.3,0.203756335,5,1,1
12701,78.3,0.169279094,8,1,1
12702,78.3,0.157647964,9,1,0
12703,78.3,0.157647964,9,1,0
12704,78.3,0.144095556,18,1,0
12706,78.3,0.033073397000000004,14,1,1
12707,78.3,0.033073397000000004,14,1,1
12708,78.3,-0.027025116,8,1,1
12709,78.3,-0.027025116,8,1,1
12710,78.3,-0.044710063,7,1,0
12711,78.3,-0.114538728,16,1,1
12712,78.3,-0.114538728,16,1,1
12713,78.3,-0.167759412,12,1,1
12716,78.3,-0.281588626,13,1,0
12717,78.3,-0.305209287,14,1,0
12720,78.3,-0.446648954,6,1,1
12723,78.3,-0.499932745,17,1,0
12725,78.3,-0.528688699,9,1,1
12729,78.3,-0.667608483,4,1,0
12730,78.3,-0.682457548,15,1,0
12732,78.3,-0.713659497,18,1,1
12734,78.3,-0.713659497,18,1,1
12737,78.3,-0.7881928109999999,6,1,0
12738,78.3,-0.7881928109999999,6,1,0
12739,78.3,-0.7881928109999999,6,1,0
12740,78.3,-0.791029875,9,1,1
12743,78.3,-0.86459146,6,1,1
12745,78.3,-0.915707772,13,1,1
12746,78.3,-1.109560849,7,1,1
12750,78.3,-1.276664813,7,1,1
12752,78.3,-1.329266031,11,1,1
12753,78.3,-1.329266031,11,1,1
12754,78.3,-1.3545680430000002,6,1,1
12760,78.3,-1.544738829,11,1,0
12761,78.3,-1.5594847319999998,10,1,1
12762,78.3,-1.759246348,12,1,1
12763,78.3,-1.759246348,12,1,1
12765,78.3,-1.796294756,6,1,1
12767,78.3,-1.802767996,6,1,1
12770,78.3,-1.870770864,10,1,1
12771,78.3,-1.870770864,10,1,1
12774,78.3,-1.870770864,10,1,1
12776,78.3,-1.880102662,18,1,1
12777,78.3,-1.898148596,9,1,1
12779,78.3,-1.98399087,9,1,1
12780,78.3,-2.015402538,5,1,0
12782,78.3,-2.042835563,14,1,1
12783,78.3,-2.0973503730000003,9,1,1
12784,78.3,-2.0973503730000003,9,1,1
12786,78.3,-2.2789128130000003,11,1,1
12787,78.3,-2.340280274,16,1,0
12789,78.3,-2.398402623,8,1,0
12790,78.3,-2.400523805,9,1,1
12791,78.3,-2.465296546,5,1,1
12792,78.3,-2.649995127,5,1,1
12793,78.3,-2.728808442,13,1,1
12794,78.3,-2.728808442,13,1,1
12795,78.3,-2.7980037610000004,13,1,1
12796,78.3,-2.862602469,17,1,1
12798,78.3,-2.943471352,15,1,1
12799,78.3,-3.063708097,6,1,1
12801,78.3,-3.234456922,17,1,1
12802,78.3,-3.291376842,16,1,1
12803,78.3,-3.304618344,10,1,0
12804,78.3,-3.3234776310000003,17,1,1
12805,78.3,-3.3234776310000003,17,1,1
12806,78.3,-3.397638662,12,1,1
12809,78.3,-3.679885901000001,7,1,1
12810,78.3,-3.679885901000001,7,1,1
12811,78.3,-3.679885901000001,7,1,1
12813,78.3,-3.679885901000001,7,1,1
12814,78.3,-3.685767348,12,1,0
12815,78.3,-3.743663289,15,1,1
12816,78.3,-3.743663289,15,1,1
12818,78.3,-3.892488494,6,1,1
12819,78.3,-3.909604811,18,1,1
12820,78.3,-3.991243899,6,1,1
12821,78.3,-4.016609524,16,1,1
12822,78.3,-4.02993437,8,1,1
12823,78.3,-4.150258616,14,1,1
12824,78.3,-4.466805355,15,1,1
12831,79.67,0.490039693,12,1,1
12834,79.67,0.372127802,8,1,1
12835,79.67,0.356021046,12,1,1
12836,79.67,0.295375114,7,1,1
12839,79.67,0.225355738,10,1,1
12840,79.67,0.214779499,12,1,1
12841,79.67,0.179006479,18,1,0
12842,79.67,0.165012262,14,1,0
12844,79.67,0.120216357,19,1,1
12848,79.67,-0.031691346,12,1,1
12850,79.67,-0.06551491,13,1,1
12851,79.67,-0.081985036,13,1,1
12856,79.67,-0.17539802699999998,19,1,1
12857,79.67,-0.19616348600000005,8,1,0
12858,79.67,-0.212611486,18,1,1
12859,79.67,-0.225030099,8,1,1
12861,79.67,-0.261634931,19,1,1
12866,79.67,-0.540757036,13,1,1
12867,79.67,-0.559097295,14,1,1
12869,79.67,-0.567629056,19,1,1
12870,79.67,-0.567629056,19,1,1
12873,79.67,-0.614028997,19,1,1
12875,79.67,-0.644415905,19,1,1
12876,79.67,-0.665105768,8,1,1
12877,79.67,-0.665105768,8,1,1
12878,79.67,-0.6894240229999999,14,1,1
12879,79.67,-0.6894240229999999,14,1,1
12880,79.67,-0.6894240229999999,14,1,1
12881,79.67,-0.7009919640000001,12,1,1
12884,79.67,-0.732213436,11,1,1
12887,79.67,-0.7918189809999999,17,1,1
12888,79.67,-0.7918189809999999,17,1,1
12889,79.67,-0.798230936,14,1,1
12891,79.67,-0.814635048,10,1,1
12892,79.67,-0.814635048,10,1,1
12894,79.67,-0.834346337,11,1,0
12899,79.67,-1.080486014,12,1,1
12903,79.67,-1.165531701,19,1,1
12904,79.67,-1.170574358,13,1,1
12905,79.67,-1.222451386,16,1,1
12908,79.67,-1.283295481,19,1,0
12909,79.67,-1.283295481,19,1,0
12910,79.67,-1.283295481,19,1,1
12911,79.67,-1.351329301,17,1,1
12912,79.67,-1.354933277,9,1,0
12915,79.67,-1.432139157,15,1,1
12916,79.67,-1.5052830169999998,15,1,1
12918,79.67,-1.562682566,12,1,1
12923,79.67,-1.644224824,13,1,0
12924,79.67,-1.644224824,13,1,0
12925,79.67,-1.6517055859999998,16,1,1
12927,79.67,-1.7890297469999998,15,1,1
12928,79.67,-1.849632424,17,1,0
12929,79.67,-1.852493103,13,1,1
12930,79.67,-1.852493103,13,1,1
12931,79.67,-1.852493103,13,1,1
12932,79.67,-1.852493103,13,1,1
12933,79.67,-1.856875666,15,1,0
12934,79.67,-1.856875666,15,1,0
12935,79.67,-1.877383945,18,1,1
12936,79.67,-1.877383945,18,1,1
12937,79.67,-1.926532665,17,1,1
12938,79.67,-1.927990458,20,1,1
12939,79.67,-1.927990458,20,1,1
12940,79.67,-1.927990458,20,1,1
12941,79.67,-2.112500366,9,1,1
12942,79.67,-2.22648874,9,1,1
12943,79.67,-2.396303315,16,1,1
12944,79.67,-2.396303315,16,1,1
12945,79.67,-2.396303315,16,1,1
12947,79.67,-2.477625251,15,1,1
12950,79.67,-2.664993514,19,1,1
12952,79.67,-2.780073536,9,1,1
12953,79.67,-2.780073536,9,1,1
12954,79.67,-2.839767783,11,1,1
12955,79.67,-2.839767783,11,1,1
12957,79.67,-3.099631735,13,1,1
12958,79.67,-3.161504309,15,1,1
12959,79.67,-3.161504309,15,1,1
12960,79.67,-3.266644977,12,1,0
12961,79.67,-3.266644977,12,1,0
12963,79.67,-3.266644977,12,1,0
12965,79.67,-3.330143815,15,1,1
12966,79.67,-3.369490678,10,1,1
12969,79.67,-3.598177095,12,1,1
12970,79.67,-3.598177095,12,1,1
12974,79.67,-3.679521393,16,1,0
12975,79.67,-3.730591823,12,1,1
12976,79.67,-3.736039057,7,1,1
12978,79.67,-3.862863316,7,1,1
12981,79.67,-4.026887455,10,1,0
12982,79.67,-4.0451430880000006,18,1,1
12984,79.67,-4.365307955,11,1,1
12994,44.51,2.8543394280000003,19,1,1
13000,44.51,2.627097714,19,1,1
13002,44.51,2.594990142,19,1,0
13003,44.51,2.594990142,19,1,0
13004,44.51,2.594990142,19,1,1
13008,44.51,2.482412761,19,1,1
13013,44.51,2.093462315,19,1,1
13023,44.51,1.687241686,19,1,1
13031,44.51,0.862458889,19,1,1
13032,44.51,0.763771895,13,1,0
13035,44.51,0.288562056,6,1,1
13038,44.51,-0.02494032,7,1,0
13042,44.51,-0.165036417,19,1,1
13043,44.51,-0.213579436,17,1,1
13044,44.51,-0.213579436,17,1,1
13046,44.51,-0.364125201,10,1,1
13047,44.51,-0.366517576,15,1,0
13050,44.51,-0.424090671,8,1,0
13051,44.51,-0.478594336,12,1,1
13052,44.51,-0.478594336,12,1,1
13054,44.51,-0.589612359,11,1,1
13055,44.51,-0.66205527,7,1,1
13056,44.51,-0.722779139,6,1,1
13057,44.51,-0.730391352,13,1,1
13058,44.51,-0.750825106,14,1,0
13059,44.51,-0.7842230720000001,5,1,0
13060,44.51,-0.7857771840000001,8,1,1
13061,44.51,-0.82301398,8,1,1
13062,44.51,-0.934877506,13,1,1
13065,44.51,-0.957006375,19,1,1
13066,44.51,-0.957006375,19,1,1
13067,44.51,-0.963940286,15,1,1
13069,44.51,-1.0686207090000002,12,1,1
13070,44.51,-1.087994258,9,1,1
13071,44.51,-1.112991454,10,1,1
13073,44.51,-1.166096911,6,1,1
13074,44.51,-1.1918683140000002,16,1,1
13075,44.51,-1.1918683140000002,16,1,1
13076,44.51,-1.192724642,18,1,0
13077,44.51,-1.210568966,12,1,0
13078,44.51,-1.251655362,15,1,1
13081,44.51,-1.357417913,17,1,1
13082,44.51,-1.393734543,16,1,1
13083,44.51,-1.423041855,11,1,0
13085,44.51,-1.507196939,5,1,1
13086,44.51,-1.5691558840000002,9,1,0
13087,44.51,-1.598930849,17,1,1
13088,44.51,-1.616939456,9,1,1
13089,44.51,-1.616939456,9,1,1
13090,44.51,-1.625003543,6,1,1
13091,44.51,-1.625003543,6,1,1
13092,44.51,-1.730533643,7,1,1
13095,44.51,-1.860711068,17,1,1
13096,44.51,-1.861123212,17,1,0
13097,44.51,-1.861123212,17,1,0
13098,44.51,-1.87157863,18,1,1
13100,44.51,-1.96205852,18,1,1
13101,44.51,-1.96205852,18,1,1
13102,44.51,-1.96205852,18,1,1
13104,44.51,-2.013614289,17,1,1
13106,44.51,-2.151310077,11,1,1
13107,44.51,-2.151310077,11,1,1
13109,44.51,-2.34200879,16,1,1
13110,44.51,-2.367071492,12,1,1
13112,44.51,-2.486590204,8,1,1
13113,44.51,-2.486590204,8,1,1
13115,44.51,-2.523327265,7,1,1
13116,44.51,-2.523327265,7,1,1
13117,44.51,-2.523327265,7,1,1
13120,44.51,-2.553190049,5,1,1
13121,44.51,-2.557331874,14,1,1
13122,44.51,-2.566813933,5,1,1
13123,44.51,-2.703866882,17,1,1
13124,44.51,-2.91974195,14,1,1
13125,44.51,-3.176379287,6,1,1
13126,44.51,-3.295652661,16,1,0
13127,44.51,-3.4455553039999995,6,1,1
13128,44.51,-3.497289991,15,1,1
13129,44.51,-3.497289991,15,1,1
13130,44.51,-3.573338017,13,1,1
13131,44.51,-3.573338017,13,1,1
13132,44.51,-3.573961537,10,1,1
13133,44.51,-3.573961537,10,1,1
13134,44.51,-3.576892131,6,1,0
13135,44.51,-3.576892131,6,1,0
13136,44.51,-3.624456797,4,1,0
13138,44.51,-3.687021147,14,1,1
13139,44.51,-3.687021147,14,1,1
13140,44.51,-3.732917917,10,1,0
13141,44.51,-3.864091369,11,1,1
13142,44.51,-4.066628716,9,1,1
13144,44.51,-4.347823162,18,1,1
13146,4.4,2.525676173,15,1,1
13149,4.4,2.360088504,19,1,1
13153,4.4,2.081857381,19,1,1
13156,4.4,1.935897674,19,1,1
13158,4.4,1.842472139,19,1,1
13160,4.4,1.840586803,19,1,1
13163,4.4,1.775348523,19,1,1
13166,4.4,1.679448529,19,1,1
13168,4.4,1.58938561,19,1,1
13174,4.4,1.516398024,19,1,1
13177,4.4,1.325258695,15,1,1
13183,4.4,1.054173894,18,1,1
13184,4.4,1.054173894,18,1,1
13185,4.4,1.036483206,17,1,1
13189,4.4,0.709778241,20,1,1
13190,4.4,0.709778241,20,1,1
13191,4.4,0.709778241,20,1,1
13192,4.4,0.709778241,20,1,1
13194,4.4,0.697079497,17,1,1
13197,4.4,0.688559494,19,1,1
13204,4.4,0.433546435,19,1,0
13205,4.4,0.433546435,19,1,0
13206,4.4,0.433546435,19,1,0
13207,4.4,0.433546435,19,1,1
13208,4.4,0.397507782,10,1,1
13209,4.4,0.397167019,16,1,1
13210,4.4,0.397167019,16,1,1
13211,4.4,0.397167019,16,1,1
13212,4.4,0.397167019,16,1,1
13213,4.4,0.397167019,16,1,1
13215,4.4,0.299679975,19,1,1
13216,4.4,0.299679975,19,1,1
13219,4.4,0.205146688,14,1,1
13222,4.4,0.179056701,15,1,1
13225,4.4,0.0183549,15,1,1
13226,4.4,0.014367971,16,1,0
13228,4.4,-0.30438771,14,1,1
13230,4.4,-0.373627083,17,1,1
13231,4.4,-0.373627083,17,1,1
13232,4.4,-0.404223464,15,1,1
13234,4.4,-0.484022503,12,1,1
13237,4.4,-0.609742796,15,1,1
13238,4.4,-0.6715699340000001,15,1,1
13241,4.4,-0.7718277490000001,18,1,1
13243,4.4,-0.8185317129999999,12,1,1
13245,4.4,-0.8756790520000001,12,1,0
13246,4.4,-0.8756790520000001,12,1,0
13247,4.4,-0.941945605,18,1,1
13248,4.4,-0.960608738,17,1,0
13249,4.4,-0.96112965,15,1,1
13250,4.4,-0.974140992,13,1,1
13253,4.4,-1.153735502,10,1,0
13254,4.4,-1.171642673,15,1,0
13255,4.4,-1.171642673,15,1,0
13256,4.4,-1.171642673,15,1,0
13257,4.4,-1.171642673,15,1,0
13258,4.4,-1.213456914,15,1,1
13259,4.4,-1.213456914,15,1,1
13260,4.4,-1.213456914,15,1,1
13261,4.4,-1.213456914,15,1,1
13265,4.4,-1.375201165,13,1,1
13267,4.4,-1.4648360619999998,14,1,1
13268,4.4,-1.520607699,14,1,1
13269,4.4,-1.611661786,13,1,1
13270,4.4,-1.611661786,13,1,1
13271,4.4,-1.611661786,13,1,1
13273,4.4,-1.61329631,14,1,1
13274,4.4,-1.6273149569999998,12,1,1
13275,4.4,-1.646732263,12,1,1
13277,4.4,-1.65543301,14,1,0
13278,4.4,-1.65543301,14,1,0
13279,4.4,-1.65543301,14,1,0
13280,4.4,-1.7515897459999998,15,1,1
